playlist,name,name_url,artist,album,year,album_art,genres,playcount
liked songs,Orphans,https://open.spotify.com/track/03T4ttRCiLXST6MZjeMwmR,Coldplay,Everyday Life,2019,https://i.scdn.co/image/ab67616d0000b273733913465adb99353020b805,"['rock', 'alternative', 'britpop']",8738114
liked songs,A Sky Full of Stars,https://open.spotify.com/track/0FDzzruyVECATHXKHFs9eJ,Coldplay,Ghost Stories,2014,https://i.scdn.co/image/ab67616d0000b273e5a95573f1b91234630fd2cf,"['rock', 'alternative', 'britpop']",8738114
liked songs,Hundred Times,https://open.spotify.com/track/5DBQRjftlFYmaoKayf4lqw,Charlie Cunningham,Permanent Way,2019,https://i.scdn.co/image/ab67616d0000b273dd737eefa972320be3772668,"['folk', 'british', 'singer-songwriter']",286921
liked songs,Rubi (You're an Honest Girl),https://open.spotify.com/track/5g5paNKhAo3PkvJO89r58E,Small Talk,Aquarium,2018,https://i.scdn.co/image/ab67616d0000b273d2d441141d68fa25363f7cb3,"['pop', 'melodic hardcore', 'canberra indie']",25898
liked songs,(It Goes Like) Nanana - Edit,https://open.spotify.com/track/23RoR84KodL5HWvUTneQ1w,Peggy Gou,(It Goes Like) Nanana [Edit],2023,https://i.scdn.co/image/ab67616d0000b27388d71aadd009fe1a83df88f2,"['House', 'electronic', 'techno']",792973
liked songs,Go!,https://open.spotify.com/track/18mNRyfNGQvVfwTJo27sNR,M83,Junk,2016,https://i.scdn.co/image/ab67616d0000b27395e27fa175bad6817721f1ca,"['electronic', 'shoegaze', 'post-rock']",3370663
liked songs,Highlander (The One),https://open.spotify.com/track/1w4bCGGUTjqbkEgBASOLpY,Lost Horizon,A Flame To The Ground Beneath,2002,https://i.scdn.co/image/ab67616d0000b2736a3a6bf1ef7158a99c869f27,"['Power metal', 'Progressive metal', 'heavy metal']",108938
liked songs,"Hold On, I'm Comin'",https://open.spotify.com/track/6PgVDY8GTkxF3GmhVGPzoB,Sam & Dave,"Hold On, I'm Comin'",1966,https://i.scdn.co/image/ab67616d0000b27319b9fae8d9f602068a5a5557,[],0
liked songs,Black Out Days,https://open.spotify.com/track/2IWtloZYQDcP8Ashwx8QEF,Phantogram,Voices,2014,https://i.scdn.co/image/ab67616d0000b2734a02353678a4f62a9d2e3d2b,"['trip-hop', 'electronic', 'indie']",1740124
liked songs,Paradise,https://open.spotify.com/track/6nek1Nin9q48AVZcWs9e9D,Coldplay,Mylo Xyloto,2011,https://i.scdn.co/image/ab67616d0000b273de0cd11d7b31c3bd1fd5983d,"['rock', 'alternative', 'britpop']",8738114
liked songs,Elanor (feat. Sir James Galway),https://open.spotify.com/track/2wYX2nSsBcPPnkKCJ69Amo,Howard Shore,The Lord of the Rings - The Return of the King - The Complete Recordings (Limited Edition),2003,https://i.scdn.co/image/ab67616d0000b2732b4d071f7824b2c60c3b85cd,"['Soundtrack', 'instrumental', 'Classical']",1289955
liked songs,Makeba,https://open.spotify.com/track/5JdLUE9D743ob2RtgmVpVx,Jain,Zanaka,2016,https://i.scdn.co/image/ab67616d0000b2739d3ad3a9fa90bf0dee0ae5be,"['pop', 'french', 'indie pop']",474317
liked songs,SPIT IN MY FACE!,https://open.spotify.com/track/1N8TTK1Uoy7UvQNUazfUt5,ThxSoMch,SPIT IN MY FACE!,2022,https://i.scdn.co/image/ab67616d0000b27360ddc59c8d590a37cf2348f3,"['Canadian', 'rap', 'Hip-Hop']",795141
liked songs,Oblivion (feat. Susanne Sundfør),https://open.spotify.com/track/66fKIbn90iaQZ0jEuurozt,M83,Oblivion (feat. Susanne Sundfør),2013,https://i.scdn.co/image/ab67616d0000b273d111f7fe15ca5fd3c551acbd,"['electronic', 'shoegaze', 'post-rock']",3370663
liked songs,Nina Cried Power (feat. Mavis Staples),https://open.spotify.com/track/4rcSvYi807urIIqfeX3tBo,Hozier,"Wasteland, Baby!",2019,https://i.scdn.co/image/ab67616d0000b2735795e01c151ba5a8ce4bd295,"['blues', 'indie', 'soul']",3129212
liked songs,Shrike,https://open.spotify.com/track/083PU4XnYAOMAGVruma3vb,Hozier,"Wasteland, Baby!",2019,https://i.scdn.co/image/ab67616d0000b2735795e01c151ba5a8ce4bd295,"['blues', 'indie', 'soul']",3129212
liked songs,On Melancholy Hill,https://open.spotify.com/track/0q6LuUqGLUiCPP1cbdwFs3,Gorillaz,Plastic Beach,2010,https://i.scdn.co/image/ab67616d0000b273661d019f34569f79eae9e985,"['electronic', 'alternative', 'Hip-Hop']",6473758
liked songs,Plastic Beach (feat. Mick Jones and Paul Simonon),https://open.spotify.com/track/2nZ33CKRbgpJQJJQKHuGXb,Gorillaz,Plastic Beach,2010,https://i.scdn.co/image/ab67616d0000b273661d019f34569f79eae9e985,"['electronic', 'alternative', 'Hip-Hop']",6473758
liked songs,Cradles,https://open.spotify.com/track/1y4jsQt7MjnZhiD1L6qFBC,Sub Urban,Cradles,2019,https://i.scdn.co/image/ab67616d0000b273fb032fd9672efc5ac88bd03f,[],860354
liked songs,The Heart Wants What It Wants,https://open.spotify.com/track/6wJwkMo278iWVlWl1XQ4WA,Selena Gomez,The Heart Wants What It Wants,2014,https://i.scdn.co/image/ab67616d0000b273f7dd2cadacebfe2d3c5d96be,"['pop', 'female vocalists', 'Disney']",2964876
liked songs,WILD,https://open.spotify.com/track/0Ad6zJhaqKCwEccDAKz6sk,Troye Sivan,Blue Neighbourhood (Deluxe),2015,https://i.scdn.co/image/ab67616d0000b273cc2504583eeb105a99b54cc8,"['pop', 'indie pop', 'indie']",2281668
liked songs,TALK ME DOWN,https://open.spotify.com/track/1othhMi2WsiF9oLoisJjYW,Troye Sivan,Blue Neighbourhood (Deluxe),2015,https://i.scdn.co/image/ab67616d0000b273cc2504583eeb105a99b54cc8,"['pop', 'indie pop', 'indie']",2281668
liked songs,YOUTH,https://open.spotify.com/track/0nhBKubnVz9yFNNprBniWz,Troye Sivan,Blue Neighbourhood (Deluxe),2015,https://i.scdn.co/image/ab67616d0000b273cc2504583eeb105a99b54cc8,"['pop', 'indie pop', 'indie']",2281668
liked songs,BLUE,https://open.spotify.com/track/0W2YQYzdW7EDKt17DfR8TV,Troye Sivan,Blue Neighbourhood (Deluxe),2015,https://i.scdn.co/image/ab67616d0000b273cc2504583eeb105a99b54cc8,"['pop', 'indie pop', 'indie']",2281668
liked songs,Lost In Love,https://open.spotify.com/track/4cormK9HXHafAVEjgTcznp,Johnny Hawksworth,LPC 1077: Soft and Sweet: Mark Duval and his Music,2019,https://i.scdn.co/image/ab67616d0000b273b79db16e2085f5ba40c2d447,"['jazz', 'United Kingdom', 'library music']",24201
liked songs,Beggin',https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,Måneskin,Chosen,2017,https://i.scdn.co/image/ab67616d0000b273fa0ab3a28b5c52d8a5f97045,"['rock', 'glam rock', 'italian']",1714844
liked songs,Roi - Instrumental Slowed,https://open.spotify.com/track/5vCREmODQpdzOmcNOVsN6B,Mckyyy,Roi,2024,https://i.scdn.co/image/ab67616d0000b27305f5045b4ff6cb74fa963f96,[],364409
liked songs,HIGHEST IN THE ROOM,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,Travis Scott,HIGHEST IN THE ROOM,2019,https://i.scdn.co/image/ab67616d0000b273e42b5fea4ac4c3d6328b622b,[],3091591
liked songs,Flow,https://open.spotify.com/track/5iQiCmjZaieOMnvZ2egqAS,Shawn James,Shadows,2012,https://i.scdn.co/image/ab67616d0000b2730a9fc81f86d6a77ac042a1a2,"['folk', 'soul', 'blues']",158848
liked songs,The Adults Are Talking,https://open.spotify.com/track/5ruzrDWcT0vuJIOMW7gMnW,The Strokes,The New Abnormal,2020,https://i.scdn.co/image/ab67616d0000b273bfa99afb5ef0d26d5064b23b,"['indie rock', 'indie', 'rock']",5462930
liked songs,Ode To The Mets,https://open.spotify.com/track/1BLOVHYYlH4JUHQGcpt75R,The Strokes,The New Abnormal,2020,https://i.scdn.co/image/ab67616d0000b273bfa99afb5ef0d26d5064b23b,"['indie rock', 'indie', 'rock']",5462930
liked songs,if u think i'm pretty,https://open.spotify.com/track/1ACA277B6f46DYCgZW8di3,Artemas,pretty,2024,https://i.scdn.co/image/ab67616d0000b273fabe0943f6dd962a792b42a1,"['pop', 'british', 'rnb']",1434339
liked songs,One Dance,https://open.spotify.com/track/5ZKG94fnjiuMH5yrC5S9lS,Drake,Views,2016,https://i.scdn.co/image/ab67616d0000b27372d0af2341359a90710c1fdc,"['Hip-Hop', 'rap', 'rnb']",6407466
liked songs,Sauna,https://open.spotify.com/track/3jVD5BsMOmy7AOF9CeI7du,M83,Knife + Heart (Original Motion Picture Soundtrack),2019,https://i.scdn.co/image/ab67616d0000b273b569c1e7aa9500fff4c2ba14,"['electronic', 'shoegaze', 'post-rock']",3370663
liked songs,Running in the Night,https://open.spotify.com/track/0E3HnGJSMplqBSYGsh2exH,FM-84,Atlas,2016,https://i.scdn.co/image/ab67616d0000b2731c0aae998e1c5febd2ee6dca,"['synthwave', 'retrowave', 'electronic']",155053
liked songs,Iron 2021,https://open.spotify.com/track/6gO9T45Ljz1rQ4GR8KZDA4,Woodkid,Iron 2021,2021,https://i.scdn.co/image/ab67616d0000b273aa96dafd463a3d098187955f,"['indie', 'alternative', 'folk']",1137243
