playlist,name,name_url,artist,album,year,album_art,genres,playcount,similar_songs
Recent Tracks,Dawn FM,https://open.spotify.com/track/6krYS8KtmNAYyb5uTZiYW4,The Weeknd,Dawn FM,2022,https://i.scdn.co/image/ab67616d0000b2734ab2520c2c77a1d66b9ee21d,"['rnb', 'electronic', 'dubstep']",4957251,"[{'Every Angel Is Terrifying': 'The Weeknd'}, {'Gasoline': 'The Weeknd'}, {""Creepin' (with The Weeknd & 21 Savage)"": 'Metro Boomin'}]"
Recent Tracks,Fall,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato,Eminem,Kamikaze,2018,https://i.scdn.co/image/ab67616d0000b273e4073def0c03a91e3fceaf73,"['rap', 'Hip-Hop', 'hip hop']",7502098,"[{'The Ringer': 'Eminem'}, {'Kamikaze': 'Eminem'}, {'Welcome 2 Hell': 'Bad Meets Evil'}]"
Recent Tracks,Heard 'Em Say,https://open.spotify.com/track/6yIjtVtnOBeC8SwdVHzAuF,Kanye West,Late Registration,2005,https://i.scdn.co/image/ab67616d0000b273428d2255141c2119409a31b2,"['Hip-Hop', 'rap', 'hip hop']",7616574,"[{'Touch the Sky': 'Kanye West'}, {'Drive Slow': 'Kanye West'}, {'4th Dimension': 'KIDS SEE GHOSTS'}]"
Recent Tracks,Passionfruit,https://open.spotify.com/track/5mCPDVBb16L4XQwDdbRUpz,Drake,More Life,2017,https://i.scdn.co/image/ab67616d0000b2734f0fd9dad63977146e685700,"['Hip-Hop', 'rap', 'rnb']",6407466,"[{'Starboy': 'The Weeknd'}, {'Teenage Fever': 'Drake'}, {'Time Flies': 'Drake'}]"
Recent Tracks,Don’t Matter To Me (with Michael Jackson),https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0,Drake,Scorpion,2018,https://i.scdn.co/image/ab67616d0000b273f907de96b9a4fbc04accc0d5,"['Hip-Hop', 'rap', 'rnb']",6407466,"[{'Stars Align (with Drake)': 'Majid Jordan'}, {'Love All (with JAY-Z)': 'Drake'}, {'With You': 'Drake'}]"
Recent Tracks,Godzilla (feat. Juice WRLD),https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ,Eminem,Music To Be Murdered By,2020,https://i.scdn.co/image/ab67616d0000b2732f44aec83b20e40f3baef73c,"['rap', 'Hip-Hop', 'hip hop']",7502098,"[{'Homicide (feat. Eminem)': 'Logic'}, {'Rap God': 'Eminem'}, {'Lucky You (feat. Joyner Lucas)': 'Eminem'}]"
Recent Tracks,All Mine,https://open.spotify.com/track/3U21A07gAloCc4P7J8rxcn,Kanye West,ye,2018,https://i.scdn.co/image/ab67616d0000b2730cd942c1a864afa4e92d04f2,"['Hip-Hop', 'rap', 'hip hop']",7616574,"[{'Yikes': 'Kanye West'}, {'No Mistakes': 'Kanye West'}, {'Reborn': 'KIDS SEE GHOSTS'}]"
Recent Tracks,Marmalade (feat. Lil Yachty),https://open.spotify.com/track/7bsnTsbiwOymZWjPF9v6Di,Macklemore,GEMINI,2017,https://i.scdn.co/image/ab67616d0000b2732e94b668c60b06deb1c3a05c,"['Hip-Hop', 'rap', 'underground rap']",1376993,"[{'Corner Store (feat. Dave B & Travis Thompson)': 'Macklemore'}, {'Intentions (feat. Dan Caplen)': 'Macklemore'}, {'White Walls (feat. ScHoolboy Q & Hollis)': 'Macklemore & Ryan Lewis'}]"
Recent Tracks,Nice For What,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw,Drake,Scorpion,2018,https://i.scdn.co/image/ab67616d0000b273f907de96b9a4fbc04accc0d5,"['Hip-Hop', 'rap', 'rnb']",6407466,"[{'In My Feelings': 'Drake'}, {'Mob Ties': 'Drake'}, {'Going Bad (feat. Drake)': 'Meek Mill'}]"
Recent Tracks,Stan,https://open.spotify.com/track/0AhrTX6TszxuoDjfOSprlz,Eminem,The Marshall Mathers LP,2001,https://i.scdn.co/image/ab67616d0000b27376ac6f4b5e6cda3c7f888ec0,"['rap', 'Hip-Hop', 'hip hop']",7502098,"[{'The Real Slim Shady': 'Eminem'}, {'The Way I Am': 'Eminem'}, {'Forgot About Dre': 'Dr. Dre'}]"
