playlist,name,name_url,artist,album,year,album_art,genres,playcount,similar_songs
Top Tracks,Enjoy The Show (feat. Future),https://open.spotify.com/track/637oNhilCI9UlkWkUW4Grt,The Weeknd,Hurry Up Tomorrow,2025,https://i.scdn.co/image/ab67616d0000b273982320da137d0de34410df61,"['rnb', 'electronic', 'dubstep']",4957251,"[{'Reflections Laughing (feat. Travis Scott, Florence + The Machine)': 'The Weeknd'}, {'Big Sleep (feat. Giorgio Moroder)': 'The Weeknd'}, {'Saturn': 'SZA'}]"
Top Tracks,Baptized In Fear,https://open.spotify.com/track/0bxRSMz5WY1VuMmOhanE4b,The Weeknd,Hurry Up Tomorrow,2025,https://i.scdn.co/image/ab67616d0000b2734aa8b835e86c68b78ee147d6,"['rnb', 'electronic', 'dubstep']",4957251,"[{'Opening Night': 'The Weeknd'}, {'Take Me Back To LA': 'The Weeknd'}, {'What Do I Do': 'SZA'}]"
Top Tracks,Let It Happen,https://open.spotify.com/track/2X485T9Z5Ly0xyaghN73ed,Tame Impala,Currents,2015,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79,"['Psychedelic Rock', 'psychedelic', 'indie rock']",3850006,"[{'The Less I Know the Better': 'Tame Impala'}, {'New Person, Same Old Mistakes': 'Tame Impala'}, {'We Are the People': 'Empire of the Sun'}]"
Top Tracks,Counting Stars,https://open.spotify.com/track/7KMm1zF2QOTSw2t01IAFif,Nujabes,2nd Collection,2007,https://i.scdn.co/image/ab67616d0000b273b272e55a046e153084ad6d6b,"['Hip-Hop', 'Jazz Hop', 'japanese']",1054478,"[{'Another Reflection': 'Nujabes'}, {'Aruarian Dance': 'Nujabes'}, {'Ole': 'Fat Jon'}]"
Top Tracks,CARNIVAL,https://open.spotify.com/track/2McT2fkH0VDqPsbiB9HWPq,¥$,VULTURES 1,2024,https://i.scdn.co/image/ab67616d0000b2739c654f315df05ae7c6ec8980,"['Hip-Hop', 'rap', 'hip hop']",1353515,"[{'STARS': '¥$'}, {'PAPERWORK': '¥$'}, {'Otis': 'JAY-Z'}]"
Top Tracks,FIELD TRIP,https://open.spotify.com/track/7vv89PswQvqGKCGJ1rw5on,¥$,VULTURES 2,2024,https://i.scdn.co/image/ab67616d0000b273fb9cedd86a3d08dc053a550d,"['Hip-Hop', 'rap', 'hip hop']",1353515,"[{'PROMOTION': '¥$'}, {'BURN': '¥$'}, {'family ties (with Kendrick Lamar)': 'Baby Keem'}]"
Top Tracks,Open Hearts,https://open.spotify.com/track/0stJVUUSrbEwyFHOp2dRu0,The Weeknd,Hurry Up Tomorrow,2025,https://i.scdn.co/image/ab67616d0000b2734aa8b835e86c68b78ee147d6,"['rnb', 'electronic', 'dubstep']",4957251,"[{'Take Me Back To LA': 'The Weeknd'}, {'Give Me Mercy': 'The Weeknd'}, {'Apple': 'Charli XCX'}]"
Top Tracks,The Less I Know The Better,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ,Tame Impala,Currents,2015,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79,"['Psychedelic Rock', 'psychedelic', 'indie rock']",3850006,"[{'Let It Happen': 'Tame Impala'}, {'Borderline': 'Tame Impala'}, {'Chamber of Reflection': 'Mac DeMarco'}]"
Top Tracks,I Can't Wait To Get There,https://open.spotify.com/track/0bcZ7xN9IcjSNxLerzR2yl,The Weeknd,Hurry Up Tomorrow,2025,https://i.scdn.co/image/ab67616d0000b273982320da137d0de34410df61,"['rnb', 'electronic', 'dubstep']",4957251,"[{'Diamond Boy (DTM)': 'SZA'}, {'Crybaby': 'SZA'}, {'Let Me Go': 'Daniel Caesar'}]"
Top Tracks,Niagara Falls,https://open.spotify.com/track/2v0AG62ZHtD3I4YmTb3WYM,The Weeknd,Hurry Up Tomorrow,2025,https://i.scdn.co/image/ab67616d0000b273982320da137d0de34410df61,"['rnb', 'electronic', 'dubstep']",4957251,"[{'Given Up on Me': 'The Weeknd'}, {'Opening Night': 'The Weeknd'}, {'Pyramids': 'Frank Ocean'}]"
