playlist,name,name_url,artist,artist_url,album,album_url,year,album_art,genres,similar_songs
Recent Tracks,Granada,https://open.spotify.com/track/5S1Nh02afzIgjwYPZSbh6N,Isaac Albéniz,https://open.spotify.com/artist/4sbcjbyksdT4dJ5Lh0SvZp,Isaac Albéniz: Spanish Music For Classical Guitar,https://open.spotify.com/album/4QCQZHWcq0oD9sz6egf992,2011,https://i.scdn.co/image/ab67616d0000b273a4365f51062e0869f1390791,,"[{'Romanza': 'Miguel Llobet Solés'}, {'Sonata giocosa: II. Andante moderato': 'Joaquín Rodrigo'}, {'Un dia de Noviembre': 'Leo Brouwer'}]"
Recent Tracks,Standing Wave,https://open.spotify.com/track/21gx0iIblIQwHyrAHPYPJV,Joby Talbot,https://open.spotify.com/artist/6HEynH0LkoBhVStL2cDeF5,Standing Wave - New Music for Guitar,https://open.spotify.com/album/0jvDIZHod3guQIZZFvanzh,2004,https://i.scdn.co/image/ab67616d0000b2730f41307f0a7289449f4fc79f,,[]
Recent Tracks,Un Dia de Noviembre,https://open.spotify.com/track/4Cpv0VEkedN82bUfShsifl,Leo Brouwer,https://open.spotify.com/artist/4PdumqEAuo2EQzukVWnxa0,Thibault Cauvin,https://open.spotify.com/album/3xh9nAAn1jntzf6phXqYcG,2015,https://i.scdn.co/image/ab67616d0000b273ca02b198b50f775ea52f105c,,"[{'El Noy de la Mare': 'Liona Boyd'}, {'Cancion de cuna': 'Leo Brouwer'}, {'Sonata giocosa: II. Andante moderato': 'Joaquín Rodrigo'}]"
Recent Tracks,Love Me Like You Do (Instrumental Version),https://open.spotify.com/track/6gjllBeOrtpQlRrUhR32j5,Love Songs,https://open.spotify.com/artist/6SeMjpS4mkt9Ginh8IeTRw,Instrumental Versions of Current Popular Songs: Like I'm Gonna Lose You,https://open.spotify.com/album/2DxOcGnGgx9MpSiiNgRIvG,2016,https://i.scdn.co/image/ab67616d0000b273990af7d0cebdadc93aef25d6,,[]
Recent Tracks,Thinking out Loud (Instrumental Version),https://open.spotify.com/track/3hoWwDZWvCeJtdcdH6WFOD,Love Songs,https://open.spotify.com/artist/6SeMjpS4mkt9Ginh8IeTRw,Instrumental Versions of Current Popular Songs: Like I'm Gonna Lose You,https://open.spotify.com/album/2DxOcGnGgx9MpSiiNgRIvG,2016,https://i.scdn.co/image/ab67616d0000b273990af7d0cebdadc93aef25d6,,[]
Recent Tracks,Un couteau dans le cœur - Reprise,https://open.spotify.com/track/5Q3hCgz5V5TiF26GgJBSPo,M83,https://open.spotify.com/artist/63MQldklfxkjYDoUE4Tppz,Knife + Heart (Original Soundtrack),https://open.spotify.com/album/0pPHcb9k5gLDmgijz2H5cL,2019,https://i.scdn.co/image/ab67616d0000b2735dda86afe482e7006ab9a734,,[]
Recent Tracks,Mexico,https://open.spotify.com/track/0eUPlkkyw9P6wZt9zaOVFb,Orange Blossom,https://open.spotify.com/artist/0vAw8AfCObQgZlXRSRILOq,Under the Shade of Violets,https://open.spotify.com/album/4MqQc6bR7WZNXQlCAPA55n,2014,https://i.scdn.co/image/ab67616d0000b273484995fc4cc9a79777616909,,"[{'Lost': 'Orange Blossom'}, {'Ommaty': 'Orange Blossom'}, {'Versus': 'EZ3kiel'}]"
Recent Tracks,Air on a G String,https://open.spotify.com/track/7z7X6PlFssjHwXcRwQIQ2t,Richard Mollenbeck,https://open.spotify.com/artist/2zFkwocH9Ah8KpUzydbcrO,Classical Guitar for Study,https://open.spotify.com/album/1E5EqMSPzEnbaYbWnHIMCY,2017,https://i.scdn.co/image/ab67616d0000b273673766ff7d7e9fe3166d303a,,[]
Recent Tracks,Gymnopedie,https://open.spotify.com/track/3TB9KL7iUVd7N5ihzghGw4,Richard Mollenbeck,https://open.spotify.com/artist/2zFkwocH9Ah8KpUzydbcrO,Classical Guitar for Study,https://open.spotify.com/album/1E5EqMSPzEnbaYbWnHIMCY,2017,https://i.scdn.co/image/ab67616d0000b273673766ff7d7e9fe3166d303a,,[]
Recent Tracks,Adagio Albinoni,https://open.spotify.com/track/5xEcZIjrJu3DI7hz8k4Ltw,Richard Mollenbeck,https://open.spotify.com/artist/2zFkwocH9Ah8KpUzydbcrO,Classical Guitar for Study,https://open.spotify.com/album/1E5EqMSPzEnbaYbWnHIMCY,2017,https://i.scdn.co/image/ab67616d0000b273673766ff7d7e9fe3166d303a,,[]
